No,Customer,Daerah,Koordinat,Keterangan (Opsional)
76,Mie Ayam Bakso Pak Muji,,"-7.970991, 110.603857","XH2M+MQ4, kios pasar besole, Jl. Baron, Karang Asem, Baleharjo, winosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55851"
77,Sambel Mentah P-3 Joyo Tamwiskul Dhaksinarga,,"-7.967368, 110.617273","Jl. Insinyur Darmakum Darmokusumo, Selang V, Selang, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55851"
78,PAWON DUREN (BM),,"-8.0425486,110.6019659","Jl. Brigjen Katamso, Purwosari, Baleharjo, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881"
79,LESEHAN MBOK IYEM,Piyaman,"-7.941467, 110.606683",
80,Rumah Makan Sederhana,Semanu,"-7.965640, 110.600962","Jl. Raya Wonosari-Semanu No.52, Sambirejo, Semanu, Kec. Semanu, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55893"
81,KEDAI WOLU (BM5018),Semanu,"-7.997173, 110.653681",
82,BAKSO DAN SOTO BETAWI SARI RASA,Semanu,"-7.975412, 110.610486",
83,JELLY POTTER SEMANU,Semanu,"-7.999600, 110.655433",
84,Candu Bobamilk II,,"-7.994367, 110.593247","Jl. Baron No.16, Dungabah II, Duwet, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55851"
85,Rumah Tempe Gunung Kidul,Siyono,"-7.952881, 110.588434",
86,PUTRA JUICE,,"-7.971240, 110.601722",
87,LOTEK IBU KUS,,"-7.959554, 110.594503",
88,Taman Kuliner Wonosari,,"-7.962729, 110.601180","Jl. Masjid, Purbosari, Wonosari, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55851"
89,Warjo Gundul,Playen,"-7.947312, 110.568347",
90,RESTO RAKYAT REMEN TEMEN,,"-7.955022, 110.590378",
91,Duren Naraya,Wonosari,"-7.962747, 110.601185","2JP2+VFQ, Purbosari, Wonosari, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55851"
92,KAWAII KEDAI ES BUAH,Playen,"-7.929753, 110.568232","Jl. Masjid, Purbosari, Wonosari, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55851"
93,Pondok Ikan Bakar Bu Shintia,Kesatrian,"-7.926534, 110.564778",
94,Kalahari resto & cafe,Wonosari,"-7.968151, 110.593203","Tegalmulyo 03/05, Bansari, Kepek, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55813"
95,Serba Sambal Logandeng,Wonosari,"-7.973668, 110.601839","Jl Wonosari-Yogya KM 4,5 Logandeng, Playen, Gunungkidul, DIY"
96,MIE AYAM DAN BAKSO BAROKAH,,"-7.956046, 110.591423",
97,KEDAI SANGKARA,Siyono,"-7.949436, 110.579847",
98,SEL SEL Gunungkidul,Wonosari,"-7.968458, 110.596690","Trimulyo, Jl. Veteran No.20 RT.3, Trimulyo I, Kepek, Wonosari, Gunung Kidul Regency, Special Region of Yogyakarta 55813"
99,JELLY POTTER PIYAMAN,Piyaman,"-7.941034, 110.602405",
100,Run&Run Signature Drink Gunungkidul,Kesatrian,"-7.961343, 110.600533",
101,Aruna Hotel,Semanu,"-7.999648, 110.674835","2M2F+3WG, Jl. Nasional III, Kranggan, Ngeposari, Kec. Semanu, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55893"
102,LESEHAN GELAGAH SARI,,"-7.952053, 110.587788",
103,Serba Es SS,Wonosari,"-7.967917, 110.602767","Balkon, Argo's Cafe Pasar Argosari, Jl. Brigjen Katamso, Purbosari, Wonosari, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55813"
104,Limas nDe_Piss,Piyaman,"-7.945542, 110.605784",
105,HeHa Sky View,Patuk,"-7.849852, 110.478227",
106-112,DEPOT NASIONAL,,"-7.961967, 110.596724",
106,9 DEPOT MAMAN,,"-7.961967, 110.596724",
107,9 DEPOT BENING,,"-7.961967, 110.596724",
108,9 DEPOT DANURI,,"-7.961967, 110.596724",
109,9 DEPOT CANDRA,,"-7.961967, 110.596724",
110,9 CITRA AGUS SALIM WONOSARI,,"-7.961967, 110.596724",
111,9 CITRA WONOSARI,,"-7.961967, 110.596724",
112,9 CITRA ALFA AGUS SALIM WONOSARI,,"-7.961967, 110.596724",
